"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"SECIL-Companhia Geral de Cal e Cimento, S.A.",Portugal,"1000000 - 1249999",0,1,0,2014-07-29
"Stichting BirdLife Europe",Netherlands,"1000000 - 1249999",7,18,72,2008-12-04
"Swedish Association of Local Authorities and Regions",Sweden,"1000000 - 1249999",0,10.5,3,2016-06-13
"The European Region of the International Lesbian, Gay, Bisexual, Trans and Intersex Association",Belgium,"1000000 - 1249999",6,4.25,21,2011-09-14
"The Goldman Sachs Group, Inc.","United States","1000000 - 1249999",1,1.75,57,2014-11-24
"The Lisbon Council for Economic Competitiveness and Social Renewal asbl",Belgium,"1000000 - 1249999",0,6,16,2008-10-05
"Toimihenkilökeskusjärjestö STTK",Finland,"1000000 - 1249999",0,20,5,2016-12-20
"Transparency International",Germany,"1000000 - 1249999",13,16.25,47,2008-06-23
"Verband der TÜV e.V.",Germany,"1000000 - 1249999",4,5.75,3,2011-08-22
"Vodafone Belgium SA",Belgium,"1000000 - 1249999",3,3.5,117,2010-04-20
"WWF Deutschland",Germany,"1000000 - 1249999",0,40,3,2013-09-04
"ÖBB-Holding AG",Austria,"1000000 - 1249999",1,1.5,1,2009-08-27
Neth-ER,Belgium,1246670,6,7.5,10,2011-10-20
GLOBSEC,Slovakia,1245467,0,14,10,2016-09-26
"European Organisation for Technical Assessment",Belgium,1236793,0,3,0,2015-03-25
"Groupe de Recherche et d'Information sur la Paix et la sécurité",Belgium,1222196,0,3,0,2015-07-07
"Fédération Internationale de l'Automobile",France,1220000,8,6,32,2011-02-22
"European Environmental Citizens' Organisation for Standardisation",Belgium,1219102,0,11.75,7,2010-05-21
"Fondazione Centro Produttività Veneto",Italy,1219000,0,6,0,2016-12-29
"European AIDS Treatment Group",Germany,1207812,0,7,4,2012-02-13
"ACTION EUROPE",Belgium,1200000,0,3.75,0,2014-11-19
"TISPOL European Traffic Police Network.","United Kingdom",1200000,0,1,0,2016-12-12
"Deutsche Telekom",Germany,1141000,6,9,114,2009-11-06
"Deutsches Rotes Kreuz e.V.",Germany,1139000,0,1.25,4,2016-08-16
"Zentralverband des Deutschen Handwerks e.V.",Germany,1133000,9,13,57,2008-12-15
"Organización Mundial de Ciudades y Gobiernos Locales Unidos - United Cities and Local Governments",Spain,1084250,0,25,1,2016-11-10
"Institut de Recherche pour le Développement",France,1000000,2,8,5,2015-05-13
"Landmark Public Policy Advisers Europe Ltd","United Kingdom",1000000,10,9,1,2011-10-27
"ORGANISATION DES PECHEURS NORMANDS",France,1000000,0,5,0,2016-11-03
"Regional Organisation of the International Trade Union Confederation",Togo,1000000,0,1.75,0,2016-11-03
"Suva Luzern Fachstelle Marktüberwachung",Switzerland,1000000,0,5,0,2016-12-06
"Testo AG",Germany,1000000,0,4.75,0,2015-03-09
"ARS Progetti SpA",Italy,"900000 - 999999",0,3.75,0,2014-07-16
"Accenture PLC",Ireland,"900000 - 999999",0,1,15,2009-03-09
"Allgemeiner Deutscher Automobil-Club e.V.",Germany,"900000 - 999999",0,6.5,2,2010-07-28
"Asociacija LATGA",Lithuania,"900000 - 999999",0,35,0,2015-08-24
"Association des Banques et Banquiers, Luxembourg",Luxembourg,"900000 - 999999",3,5.5,15,2008-08-05
"BNP PARIBAS",France,"900000 - 999999",2,6,42,2009-02-10
BPCE,France,"900000 - 999999",0,7,5,2014-03-27
"CAISSE DES DEPOTS",France,"900000 - 999999",6,4,16,2011-12-13
"Caritas Europa",Belgium,"900000 - 999999",8,8.75,24,2009-01-06
