"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"The Investment Association","United Kingdom","1000000 - 1249999",3,9.75,17,2008-06-30
"The Pew Charitable Trusts","United States","1000000 - 1249999",4,23,43,2011-10-21
"The Regulatory Assistance Project","United States","1000000 - 1249999",2,5.75,2,2012-12-06
"Toimihenkilökeskusjärjestö STTK",Finland,"1000000 - 1249999",0,15,5,2016-12-20
"Transport and Environment (European Federation for Transport and Environment)",Belgium,"1000000 - 1249999",20,15.75,161,2010-02-22
"UK Research Office",Belgium,"1000000 - 1249999",10,10,3,2013-04-03
"Universidade do Porto",Portugal,"1000000 - 1249999",0,6.25,2,2017-05-17
"University College London","United Kingdom","1000000 - 1249999",0,20.25,0,2018-04-06
"Unión Nacional de Instituciones para el Trabajo de Acción Social",Bolivia,"1000000 - 1249999",0,23,0,2016-11-11
"Verband der TÜV e.V.",Germany,"1000000 - 1249999",5,7.75,3,2011-08-22
"Verbraucherzentrale Bundesverband",Germany,"1000000 - 1249999",25,43,16,2008-12-09
"Vlaamse Instelling voor Technologisch Onderzoek",Belgium,"1000000 - 1249999",0,10,0,2016-10-04
"WWF Deutschland",Germany,"1000000 - 1249999",0,5.75,3,2013-09-04
"Wayna Aero",Spain,"1000000 - 1249999",0,1.5,0,2017-06-09
"Wemos Foundation",Netherlands,"1000000 - 1249999",0,7.25,0,2012-02-22
"city of Dieppe",France,"1000000 - 1249999",0,10,0,2017-12-08
"Barclays PLC","United Kingdom",1176593,3,3,17,2011-08-03
"Fédération Internationale de l'Automobile",France,1103938,5,3.25,32,2011-02-22
"Organización Mundial de Ciudades y Gobiernos Locales Unidos - United Cities and Local Governments",Spain,1075000,0,35,1,2016-11-10
"Ancitel Energia e Ambiente S.p.a.",Italy,1000000,0,9,0,2017-06-09
"BT Group plc","United Kingdom",1000000,2,4.25,49,2010-08-30
CroissancePlus,France,1000000,0,0.25,0,2017-12-07
"Deutscher Franchiseverband e.V.",Germany,1000000,0,7,0,2017-09-11
"FEDERATION OF INDUSTRIES OF NORTHERN GREECE",Greece,1000000,0,3.5,3,2017-04-25
"Foreningen Danske Olieberedskabslagre",Denmark,1000000,0,0.25,0,2017-03-29
InnoSec,Israel,1000000,0,15,0,2018-01-28
"Institut de Recherche pour le Développement",France,1000000,0,6,5,2015-05-13
"Landmark Public Policy Advisers Europe Ltd","United Kingdom",1000000,9,11.25,1,2011-10-27
